Car_Number,Arrive,Depart,Wait,Direction
941,22835,22848,13,S
944,22854,22854,0,N
947,22868,22868,0,S
950,22884,22884,0,N
945,22863,22890,27,E
943,22847,22890,43,W
949,22883,22892,9,E
946,22863,22892,29,W
948,22879,22894,15,W
951,22895,22896,1,W
953,22903,22904,1,E
954,22911,22912,1,W
956,22923,22924,1,E
957,22927,22928,1,W
959,22943,22944,1,E
960,22943,22944,1,W
955,22914,22950,36,N
952,22901,22950,49,S
961,22944,22952,8,N
958,22934,22952,18,S
964,22967,22968,1,S
965,22974,22974,0,N
963,22963,22996,33,E
962,22959,22996,37,W
967,22983,22998,15,E
966,22975,22998,23,W
968,22991,23000,9,W
970,23003,23004,1,E
972,23007,23008,1,W
973,23023,23024,1,E
974,23023,23024,1,W
977,23039,23040,1,W
978,23043,23044,1,E
971,23004,23056,52,N
969,23000,23056,56,S
976,23034,23058,24,N
975,23033,23058,25,S
981,23064,23064,0,N
982,23066,23066,0,S
986,23094,23094,0,N
980,23063,23100,37,E
979,23055,23100,45,W
984,23083,23102,19,E
983,23071,23102,31,W
988,23103,23104,1,E
985,23087,23104,17,W
989,23103,23106,3,W
990,23119,23120,1,W
991,23123,23124,1,E
994,23135,23136,1,W
995,23143,23144,1,E
996,23151,23152,1,W
992,23124,23160,36,N
987,23099,23160,61,S
997,23154,23162,8,N
993,23132,23162,30,S
999,23165,23166,1,S
1003,23184,23184,0,N
1004,23198,23198,0,S
998,23163,23206,43,E
1000,23167,23206,39,W
1001,23183,23208,25,E
1002,23183,23208,25,W
1006,23203,23210,7,E
1005,23199,23210,11,W
1008,23215,23216,1,W
1009,23223,23224,1,E
1011,23231,23232,1,W
1012,23243,23244,1,E
1014,23247,23248,1,W
1015,23263,23264,1,E
1016,23263,23264,1,W
1007,23214,23266,52,N
1010,23231,23266,35,S
1013,23244,23268,24,N
1017,23264,23268,4,S
1018,23274,23274,0,N
1022,23297,23298,1,S
1024,23304,23304,0,N
1020,23283,23310,27,E
1019,23279,23310,31,W
1023,23303,23312,9,E
1021,23295,23312,17,W
1025,23311,23314,3,W
1026,23323,23324,1,E
1027,23327,23328,1,W
1030,23343,23344,1,E
1031,23343,23344,1,W
1032,23359,23360,1,W
1034,23363,23364,1,E
1029,23334,23370,36,N
1028,23330,23370,40,S
1035,23364,23372,8,N
1033,23363,23372,9,S
1039,23394,23394,0,N
1040,23396,23396,0,S
1037,23383,23416,33,E
1036,23375,23416,41,W
1041,23403,23418,15,E
1038,23391,23418,27,W
1042,23407,23420,13,W
1043,23423,23424,1,E
1044,23423,23424,1,W
1047,23439,23440,1,W
1048,23443,23444,1,E
1050,23455,23456,1,W
1052,23463,23464,1,E
1053,23471,23472,1,W
1045,23424,23476,52,N
1046,23429,23476,47,S
1049,23454,23478,24,N
1051,23462,23478,16,S
1055,23484,23484,0,N
1057,23495,23496,1,S
1060,23514,23514,0,N
1054,23483,23520,37,E
1056,23487,23520,33,W
1058,23503,23522,19,E
1059,23503,23522,19,W
1062,23523,23524,1,E
1061,23519,23524,5,W
1064,23535,23536,1,W
1065,23543,23544,1,E
1067,23551,23552,1,W
1069,23563,23564,1,E
1070,23567,23568,1,W
1066,23544,23580,36,N
1063,23528,23580,52,S
1071,23574,23582,8,N
1068,23561,23582,21,S
1074,23594,23594,0,S
1077,23604,23604,0,N
1072,23583,23626,43,E
1073,23583,23626,43,W
1076,23603,23628,25,E
1075,23599,23628,29,W
1079,23623,23630,7,E
1078,23615,23630,15,W
1081,23631,23632,1,W
1083,23643,23644,1,E
1084,23647,23648,1,W
1086,23663,23664,1,E
1087,23663,23664,1,W
1089,23679,23680,1,W
1090,23683,23684,1,E
1082,23634,23686,52,N
1080,23627,23686,59,S
1088,23664,23688,24,N
1085,23660,23688,28,S
1092,23694,23694,0,N
1091,23693,23694,1,S
1097,23724,23724,0,N
1098,23726,23726,0,S
1094,23703,23730,27,E
1093,23695,23730,35,W
1096,23723,23732,9,E
1095,23711,23732,21,W
1099,23727,23734,7,W
1100,23743,23744,1,E
1101,23743,23744,1,W
1104,23759,23760,1,W
1105,23763,23764,1,E
1106,23775,23776,1,W
1107,23783,23784,1,E
1102,23754,23790,36,N
1103,23759,23790,31,S
1108,23784,23792,8,N
1110,23792,23792,0,S
1113,23814,23814,0,N
1116,23825,23826,1,S
1111,23803,23836,33,E
1109,23791,23836,45,W
1114,23823,23838,15,E
1112,23807,23838,31,W
1115,23823,23840,17,W
1117,23839,23842,3,W
1118,23843,23844,1,E
1120,23855,23856,1,W
1122,23863,23864,1,E
1123,23871,23872,1,W
1125,23883,23884,1,E
1126,23887,23888,1,W
1119,23844,23896,52,N
1121,23858,23896,38,S
1124,23874,23898,24,N
1127,23891,23898,7,S
1130,23904,23904,0,N
1133,23924,23924,0,S
1134,23934,23934,0,N
1128,23903,23940,37,E
1129,23903,23940,37,W
1132,23923,23942,19,E
1131,23919,23942,23,W
1136,23943,23944,1,E
1135,23935,23944,9,W
1137,23951,23952,1,W
1139,23963,23964,1,E
1141,23967,23968,1,W
1142,23983,23984,1,E
1143,23983,23984,1,W
1140,23964,24000,36,N
1138,23957,24000,43,S
1145,23994,24002,8,N
1144,23990,24002,12,S
1151,24024,24024,0,N
1149,24023,24024,1,S
1147,24003,24046,43,E
1146,23999,24046,47,W
1150,24023,24048,25,E
1148,24015,24048,33,W
